experiment,seed,num_states,state_dim,register_type,flip_fraction,trials_per_state,recovery_accuracy,mean_abs_overlap
exp02_noise_recovery,0,32,256,nearest,0.4,20,0.9734375,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.0,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.05,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.1,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.15,20,0.9921875,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.2,20,0.959375,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.25,20,0.85625,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.3,20,0.653125,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.35,20,0.4078125,0.05041897681451613
exp02_noise_recovery,0,32,256,hopfield,0.4,20,0.2078125,0.05041897681451613
exp02_noise_recovery,0,32,512,nearest,0.0,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.05,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.1,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.15,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.2,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.25,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.3,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.35,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,nearest,0.4,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.0,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.05,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.1,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.15,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.2,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.25,20,1.0,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.3,20,0.9984375,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.35,20,0.990625,0.03582566784274194
exp02_noise_recovery,0,32,512,hopfield,0.4,20,0.725,0.03582566784274194
exp02_noise_recovery,0,64,64,nearest,0.0,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.05,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.1,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.15,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.2,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.25,20,1.0,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.3,20,0.97109375,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.35,20,0.67421875,0.10103546626984126
exp02_noise_recovery,0,64,64,nearest,0.4,20,0.01328125,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.0,20,0.375,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.05,20,0.28984375,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.1,20,0.240625,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.15,20,0.17734375,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.2,20,0.15625,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.25,20,0.12109375,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.3,20,0.09453125,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.35,20,0.06328125,0.10103546626984126
exp02_noise_recovery,0,64,64,hopfield,0.4,20,0.03984375,0.10103546626984126
exp02_noise_recovery,0,64,128,nearest,0.0,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.05,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.1,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.15,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.2,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.25,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.3,20,1.0,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.35,20,0.9796875,0.07049076140873016
exp02_noise_recovery,0,64,128,nearest,0.4,20,0.4953125,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.0,20,0.5625,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.05,20,0.4625,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.1,20,0.42109375,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.15,20,0.359375,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.2,20,0.29765625,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.25,20,0.25703125,0.07049076140873016
exp02_noise_recovery,0,64,128,hopfield,0.3,20,0.16953125,0.07049076140873016
