row_type,seed,grammar,condition,cleanup,feature_type,state_dim,num_states,feature_dim,episodes,eta,alpha,gamma,lambda,noise_start,noise_end,write_fraction,final_test_accuracy,final_return,state_tracking_accuracy,transition_accuracy,seen_transition_accuracy,unseen_transition_accuracy,episodes_to_80,episodes_to_90,episode,mean_train_return,test_accuracy,avg_td_error,avg_trace_norm,state_id,symbol,seen_in_training,true_next_state,pred_next_state,correct
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,3250,4.708,0.857,0.9027643770984489,1.3583590430628778,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,3500,5.02,0.857,0.8992456287015053,1.359499003035416,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,3750,4.692,0.857,0.8930356576640229,1.3657059352184675,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,4000,4.052,0.857,0.8855865574466965,1.359269355079625,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,4250,4.256,0.857,0.8762620445169311,1.317769168762797,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,4500,4.58,0.857,0.8691555038162215,1.3662978947540936,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7819950410070571,0.8333333333333334,nan,nan,nan,nan,4750,4.84,0.857,0.8569938843770722,1.3299275796656356,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,state_shaped_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.864104520312798,0.9166666666666666,nan,nan,nan,nan,5000,4.536,0.92,0.8622419243704128,1.3391125508678068,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,terminal_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7696929238985314,0.5,nan,nan,nan,nan,1,1.0,0.5,0.5,1.0,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,terminal_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.581155826816708,0.3333333333333333,nan,nan,nan,nan,250,0.08433734939759036,0.603,0.2971825731981773,1.3182171370789644,nan,nan,nan,nan,nan,nan
learning_curve,1,tier_alternating_12,terminal_rl,nearest,exact_pair,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35761968338737365,0.16666666666666666,nan,nan,nan,nan,500,0.144,0.603,0.28772980030778217,1.320429870795921,nan,nan,nan,nan,nan,nan
